Voyage Number,Grid No,Date,Latitude,Longitude,Pressure [db],Temp [°C-T090],DIC [umol/kg],TA [umol/kg],Month,Day,Year,Salinity [PSU],Depth [m]
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","145,74","9,4681","2205,16","2299,02",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","101,52","9,5534","2221,03","2301,27",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","56,773","10,8296","2173,81","2303,64",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","30,234","12,9749","2131,65","2317,86",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","22,506","13,4255","2104,1","2315,26",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","12,34","13,5057","2098,4","2313,47",8,7,2014,,
Algoa V209,KML003,2014-08-07,"-29,510833","16,41183333","3,623","13,5308","2090,56","2315,09",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","185,052","9,4242","2205,2","2303,98",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","99,904","10,4181","2170,66","2298,79",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","47,187","14,0475","2096,1","2319,57",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","31,681","14,4528","2074,94","2320,58",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","20,105","14,6797","2074,75","2316,64",8,7,2014,,
Algoa V209,KML004,2014-08-07,"-29,6575","15,9365","10,65","14,6989","2066,33","2314,26",8,7,2014,,
Algoa V209,KML005,2014-08-08,"-29,809167","15,3985","44,836","13,9182","2057,33","2298,15",8,8,2014,,
Algoa V209,KML005,2014-08-08,"-29,809167","15,3985","9,026","15,0394","2047,15","2301,97",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","265,623","8,6637","2174,94","2294,53",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","208,422","9,5289","2192,2","2297,36",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","119,092","10,5507","2157,78","2299,19",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","51,777","13,5034","2115,24","2312,93",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","36,574","14,8029",2100,"2317,62",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","21,99","15,2678","2071,99","2320,08",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","8,877","15,2683","2072,29","2327,59",8,8,2014,,
Algoa V209,KML006,2014-08-08,"-29,863","15,179","5,214","15,2639","2075,11","2321,01",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","422,248","6,2623","2164,06","2293,94",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","355,454","6,7353","2175,63","2290,01",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","317,298","8,7356","2188,94","2293,79",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","222,964","10,0631","2169,25","2297,46",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","96,92","13,4028","2123,41","2312,37",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","48,336","16,4503","2071,15","2328,47",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","28,261","16,4823","2060,3","2327,83",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","9,365","16,4908","2070,18","2328,15",8,8,2014,,
Algoa V209,KML007,2014-08-08,"-29,931333","14,9525","3,732","16,4898","2060,7","2327,92",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","490,979","6,1495","2171,34","2291,41",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","419,389","7,4127","2163,87","2291,46",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","302,704","10,0735","2142,64","2301,27",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","207,849","12,3879","2123,19","2312,16",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","79,231","16,0949","2085,55","2333,23",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","42,516","16,8463","2062,76","2340,1",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","25,837","16,8579","2061,78","2336,06",8,8,2014,,
Algoa V209,KML008,2014-08-08,"-30,007167","14,69583333","12,412","16,8987","2059,83","2338,77",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","837,013","4,3417","2199,83","2299,65",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","707,999","4,9398","2198,68","2295,66",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","503,188","7,6851","2165,93","2294,02",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","200,218","13,0525","2111,64","2315,65",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","123,435","15,2025","2102,36","2326,89",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","83,789","16,8169","2070,64","2333,38",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","39,506","16,8491","2055,9","2340,32",8,8,2014,,
Algoa V209,KML009,2014-08-08,"-30,0665","14,46333333","19,368","16,9066","2066,95","2334,71",8,8,2014,,
